Mode,Port1_Vmag_V,Port1_Imag_A,Port1_Zmag_Ohm,Port2_Vmag_V,Port2_Imag_A,Port2_Zmag_Ohm,Port3_Vmag_V,Port3_Imag_A,Port3_Zmag_Ohm,Port4_Vmag_V,Port4_Imag_A,Port4_Zmag_Ohm,Port5_Vmag_V,Port5_Imag_A,Port5_Zmag_Ohm,Port6_Vmag_V,Port6_Imag_A,Port6_Zmag_Ohm,Port7_Vmag_V,Port7_Imag_A,Port7_Zmag_Ohm,Port8_Vmag_V,Port8_Imag_A,Port8_Zmag_Ohm
11,0.0002079378763493477,1.4552035560334463e-07,1428.9263896257855,0.00012047325432016859,8.431032920578282e-08,1428.926389625642,1.4571017050553301e-05,1.0197178214591123e-08,1428.9263896264617,0.00014169666398087762,9.916302547812412e-08,1428.9263896263094,5.823865315271371,0.004075693022084259,1428.9263896261546,35.38021976608411,0.024760001650849874,1428.9263896260566,2.497323956780007e-05,1.7476925158008726e-08,1428.9263896261632,6.38070130544752e-05,4.4653813882713264e-08,1428.9263896264117
12,35.90235769471989,0.024876577608097642,1443.2193310639811,2.8338523539832305,0.0019635631902841597,1443.2193310637106,7.98150911198221e-05,5.530350751398737e-08,1443.2193310638618,5.814437763827615e-05,4.0287970363730824e-08,1443.2193310641562,0.00018768716169372386,1.3004756633580636e-07,1443.2193310644632,0.000640153655243111,4.4355950718256863e-07,1443.2193310640155,5.652443462516356e-06,3.916551934174449e-09,1443.2193310639216,9.173872380788533e-05,6.356533746000842e-08,1443.2193310639143
13,0.0001392192743739215,9.184466085061331e-08,1515.8123845692423,1.0422394131707054e-05,6.875781091253648e-09,1515.8123845689158,2.6124836808398852e-05,1.723487489240107e-08,1515.812384569,1.7655613524008178e-05,1.1647624537010486e-08,1515.8123845688212,36.2944149787138,0.02394387019673549,1515.8123845685643,5.975519034408649,0.0039421231118307466,1515.8123845689793,1.6165414220437073e-05,1.0664521800324379e-08,1515.8123845689336,1.1569064882934809e-05,7.63225383346202e-09,1515.8123845688497
14,0.0002170359481711729,1.1669987723341348e-07,1859.778718850539,0.00010157711339132662,5.461784908156147e-08,1859.7787188514203,0.014634578332794052,7.868989027807818e-06,1859.778718851642,0.01946349738592275,1.0465490968701496e-05,1859.7787188514176,0.0004760872466570963,2.559913401693433e-07,1859.7787188510174,0.0003068150616759815,1.6497396091590037e-07,1859.778718851202,0.0005202308990646186,2.797273104543688e-07,1859.7787188515601,0.0008417311418325294,4.5259746941955786e-07,1859.7787188514849
15,0.015753225759471207,7.4832986796008275e-06,2105.117867660938,0.014412732362114133,6.846520369960005e-06,2105.117867661924,0.003005268840191182,1.427601221935491e-06,2105.1178676610725,0.0025762103830634844,1.223784388817313e-06,2105.1178676606423,0.0008367603360306659,3.9748859143939476e-07,2105.117867661485,0.000705333912782688,3.3505673179536313e-07,2105.1178676615064,0.00032267309894706825,1.5328030031190573e-07,2105.1178676612058,0.0004536926169700634,2.1551886663432665e-07,2105.1178676614372
16,0.0005057705417453215,1.8413432858344646e-07,2746.7476903206298,0.0007100897848842098,2.5852020824002116e-07,2746.74769031956,0.0007026476038912029,2.558107562509001e-07,2746.7476903201195,0.0005745994596429769,2.0919266144025578e-07,2746.7476903202896,0.006747896687359286,2.4566860331369137e-06,2746.74769031962,0.004016257735837643,1.462186625291654e-06,2746.747690320682,0.0037962765319166144,1.3820987436507848e-06,2746.747690319745,0.009144419189993714,3.329180624132022e-06,2746.7476903202964
17,0.006288320304597924,2.2183273982584705e-06,2834.7124547686963,0.010131499876869225,3.5740838051594843e-06,2834.7124547677286,0.006207205129128962,2.1897124410929103e-06,2834.7124547691183,0.004155728539025092,1.4660141391185592e-06,2834.7124547678122,0.0004337701740946512,1.5302087284542887e-07,2834.712454769591,0.0003508127104813796,1.2375601267469902e-07,2834.7124547678695,0.00035682309942580514,1.258762943752695e-07,2834.7124547694743,0.00033606337666461226,1.1855289805470209e-07,2834.7124547689045
18,0.0014272057395587473,4.108466548640236e-07,3473.8161371451456,0.001689360691514293,4.863126385562444e-07,3473.816137145098,0.010754531558923931,3.0958839311992104e-06,3473.816137143777,0.009048954175705852,2.6049030283862803e-06,3473.8161371448896,0.001559375227583266,4.4889400187551496e-07,3473.8161371461233,0.0011630103177003163,3.347932854776782e-07,3473.8161371454926,0.0083613023859964,2.406950182708612e-06,3473.8161371446336,0.009559911831245944,2.751991312672983e-06,3473.8161371448855
19,0.00018207467011915936,5.005139670641635e-08,3637.7540308644025,0.0001694040631052631,4.656831156479043e-08,3637.754030862198,0.0006794323276923938,1.8677247607393235e-07,3637.754030863981,0.0005788211826970038,1.5911498627619945e-07,3637.7540308633033,0.00010284563525632296,2.8271739755841343e-08,3637.754030863049,5.66872076276929e-05,1.5583023796210245e-08,3637.7540308626812,0.0023717860725843793,6.519918753334661e-07,3637.754030863209,0.0019090856287539606,5.247978869809073e-07,3637.7540308644857
20,0.006437558139802267,1.38065751824811e-06,4662.675612682545,0.0037920445246012904,8.13276504650629e-07,4662.675612681439,0.00036275563395362753,7.779988660738862e-08,4662.6756126811215,0.00010192794369511663,2.1860397797760693e-08,4662.675612680652,0.00016515731087913388,3.542114541057969e-08,4662.675612680899,0.0001253766348115849,2.6889418271046415e-08,4662.675612680921,3.1627691929959334e-05,6.783163693383703e-09,4662.675612680405,0.0003046770704826356,6.534382740544409e-08,4662.675612681537
21,0.0009570878924525198,2.0017721740645657e-07,4781.202900373864,0.0006943827956688869,1.452318193010452e-07,4781.202900374943,0.00020062549737035284,4.196130169558024e-08,4781.2029003734315,0.00020338879805766917,4.2539252630709834e-08,4781.20290037346,0.000934649801313351,1.9548423708195443e-07,4781.2029003725265,0.0007118653168614659,1.4888833034165424e-07,4781.202900374715,0.0002953836818022696,6.178020217029761e-08,4781.2029003732005,0.0006825381664753148,1.4275448683050948e-07,4781.202900373166
22,0.008496096177907255,1.5342651919024222e-06,5537.56692307701,0.010127866830055015,1.8289380463921404e-06,5537.566923075267,0.00459400069455158,8.296063520980302e-07,5537.566923075742,0.003961269750386152,7.153448085437696e-07,5537.566923076056,0.009196565595281174,1.66075926901333e-06,5537.566923076651,0.007257129458555593,1.3105267275985246e-06,5537.5669230752155,0.00348798040239737,6.298759817895454e-07,5537.566923075306,0.0035994792160126033,6.500109643845857e-07,5537.566923075677
23,0.0007619875416391133,1.3022388746854583e-07,5851.365340503778,0.0007999199812135999,1.3670655217452878e-07,5851.365340502248,0.0020557698793898776,3.513316567604661e-07,5851.36534050354,0.003628921506340408,6.201837169902408e-07,5851.365340502019,0.0007242789312070794,1.2377947522673774e-07,5851.365340500548,0.0005186805752817602,8.864265775571642e-08,5851.365340501778,0.0004283050262003476,7.319745072756203e-08,5851.3653405018395,0.0003356500444181441,5.736268800288824e-08,5851.365340502243
24,0.00010634806144841636,1.052105009637109e-08,10108.122333254341,1.6028984273016755e-05,1.5857528969839836e-09,10108.12233324815,0.00029053948491668784,2.8743170624367797e-08,10108.122333253492,0.00044029766163393555,4.355879827309563e-08,10108.122333252893,1.483258904790368e-05,1.4673931081260908e-09,10108.122333248099,9.96230966571759e-05,9.855747029243693e-09,10108.122333251562,0.0007982996834980894,7.897606075383874e-08,10108.122333251307,0.0007273407899913649,7.195607314710493e-08,10108.122333251988
25,1.3425703860235261e-05,1.2057435091066196e-09,11134.792564782592,1.1754650259111125e-05,1.0556685444045877e-09,11134.792564782649,2.47108788247323e-05,2.2192491401129338e-09,11134.792564783782,6.769696888347898e-07,6.079769199974538e-11,11134.792564783955,6.686321965018437e-06,6.004891358429827e-10,11134.792564784706,1.3799996347390806e-05,1.2393581889470985e-09,11134.792564782781,0.32976295790503796,2.961554568587701e-05,11134.792564781088,0.0001352588049645802,1.2147402313748316e-08,11134.792564785275
