cell,layer,datatype,area_mm2,xmin_mm,ymin_mm,xmax_mm,ymax_mm,cx_mm,cy_mm,Qubit,distance_mm
TOP_main_1_Cheese_100,1,100,0.001875000000000006,-2.7875,-0.3125,-2.7125,-0.2875,-2.75,-0.3,Q1,0.3905124837953327
TOP_main_1_Cheese_100,1,100,0.001874999999999995,-2.8874999999999997,-0.3125,-2.8125,-0.2875,-2.8499999999999996,-0.3,Q1,0.3354101966249686
TOP_main_1_Cheese_100,1,100,0.001874999999999995,-2.9875,-0.3125,-2.9125,-0.2875,-2.95,-0.3,Q1,0.30413812651491096
TOP_main_1_Cheese_100,1,100,0.001875000000000006,-3.0875,-0.3125,-3.0124999999999997,-0.2875,-3.05,-0.3,Q1,0.30413812651491096
TOP_main_1_Cheese_100,1,100,0.001875000000000006,-3.1875,-0.3125,-3.1125,-0.2875,-3.15,-0.3,Q1,0.3354101966249684
TOP_main_1_Cheese_100,1,100,0.001874999999999995,-3.2874999999999996,-0.3125,-3.2125,-0.2875,-3.25,-0.3,Q1,0.3905124837953327
TOP_main_1_Cheese_100,1,100,0.001874999999999995,-3.3874999999999997,-0.3125,-3.3125,-0.2875,-3.3499999999999996,-0.3,Q1,0.4609772228646441
TOP_main_1_Cheese_100,1,100,0.024753945163000026,-3.88964,-0.2875,-1.6926789999999998,-0.27622199999999997,-2.7911595,-0.281861,Q1,0.35079905610085377
TOP_main_1_Cheese_100,1,100,0.034464879798,-3.88964,-0.27622199999999997,-1.696771,-0.26048499999999997,-2.7932055,-0.26835349999999997,Q1,0.3387883796597811
TOP_main_1_Cheese_100,1,100,0.07531639845199997,-3.88964,-0.26048499999999997,-1.7024009999999998,-0.225953,-2.7960205,-0.24321899999999996,Q1,0.3174320689238092
TOP_main_1_Cheese_100,1,100,0.02922778109899999,-3.88964,-0.225953,-1.7147569999999999,-0.2125,-2.8021985,-0.2192265,Q1,0.2952722332094572
TOP_main_1_Cheese_100,1,100,0.001875000000000004,-2.6875,-0.2125,-2.6125,-0.1875,-2.65,-0.2,Q1,0.40311288741492757
TOP_main_1_Cheese_100,1,100,0.001875000000000004,-2.7875,-0.2125,-2.7125,-0.1875,-2.75,-0.2,Q1,0.32015621187164245
TOP_main_1_Cheese_100,1,100,0.001874999999999993,-2.8874999999999997,-0.2125,-2.8125,-0.1875,-2.8499999999999996,-0.2,Q1,0.2500000000000002
TOP_main_1_Cheese_100,1,100,0.001874999999999993,-2.9875,-0.2125,-2.9125,-0.1875,-2.95,-0.2,Q1,0.206155281280883
TOP_main_1_Cheese_100,1,100,0.001875000000000004,-3.0875,-0.2125,-3.0124999999999997,-0.1875,-3.05,-0.2,Q1,0.206155281280883
TOP_main_1_Cheese_100,1,100,0.001875000000000004,-3.1875,-0.2125,-3.1125,-0.1875,-3.15,-0.2,Q1,0.24999999999999997
TOP_main_1_Cheese_100,1,100,0.001874999999999993,-3.2874999999999996,-0.2125,-3.2125,-0.1875,-3.25,-0.2,Q1,0.32015621187164245
TOP_main_1_Cheese_100,1,100,0.001874999999999993,-3.3874999999999997,-0.2125,-3.3125,-0.1875,-3.3499999999999996,-0.2,Q1,0.4031128874149272
TOP_main_1_Cheese_100,1,100,0.16168142621200005,-3.88964,-0.1875,-1.7252729999999998,-0.11249999999999999,-2.8074565,-0.15,Q1,0.2440758066508233
TOP_main_1_Cheese_100,1,100,0.001875000000000004,-2.6875,-0.11249999999999999,-2.6125,-0.0875,-2.65,-0.09999999999999999,Q1,0.364005494464026
TOP_main_1_Cheese_100,1,100,0.001875000000000004,-2.7875,-0.11249999999999999,-2.7125,-0.0875,-2.75,-0.09999999999999999,Q1,0.2692582403567252
TOP_main_1_Cheese_100,1,100,0.001874999999999993,-2.8874999999999997,-0.11249999999999999,-2.8125,-0.0875,-2.8499999999999996,-0.09999999999999999,Q1,0.18027756377319976
TOP_main_1_Cheese_100,1,100,0.001874999999999993,-2.9875,-0.11249999999999999,-2.9125,-0.0875,-2.95,-0.09999999999999999,Q1,0.1118033988749894
TOP_main_1_Cheese_100,1,100,0.001875000000000004,-3.0875,-0.11249999999999999,-3.0124999999999997,-0.0875,-3.05,-0.09999999999999999,Q1,0.1118033988749894
TOP_main_1_Cheese_100,1,100,0.001875000000000004,-3.1875,-0.11249999999999999,-3.1125,-0.0875,-3.15,-0.09999999999999999,Q1,0.1802775637731994
TOP_main_1_Cheese_100,1,100,0.001874999999999993,-3.2874999999999996,-0.11249999999999999,-3.2125,-0.0875,-3.25,-0.09999999999999999,Q1,0.2692582403567252
TOP_main_1_Cheese_100,1,100,0.001874999999999993,-3.3874999999999997,-0.11249999999999999,-3.3125,-0.0875,-3.3499999999999996,-0.09999999999999999,Q1,0.3640054944640256
TOP_main_1_Cheese_100,1,100,0.13741306404399992,-3.9194679999999997,-0.0875,-1.744314,-0.023691,-2.8318909999999997,-0.0555955,Q1,0.1770635352105286
TOP_main_1_Cheese_100,1,100,0.024353444918000004,-3.931701,-0.023691,-1.7488359999999998,-0.012499999999999999,-2.8402684999999996,-0.0180955,Q1,0.16075322457885602
TOP_main_1_Cheese_100,1,100,0.03256486744599999,-3.970211,-0.012499999999999999,-1.7493859999999999,0.00699,-2.8597985,-0.0027549999999999996,Q1,0.14022856566067401
TOP_main_1_Cheese_100,1,100,0.22808295311200005,-4.707275999999999,0.00699,-1.744314,0.0875,-3.2257949999999997,0.047244999999999995,Q1,0.23068478937719297
TOP_main_1_Cheese_100,1,100,0.25139318386300025,-5.0,0.0875,-1.7294429999999998,0.170853,-3.3647215,0.1291765,Q1,0.3869216208930433
TOP_main_1_Cheese_100,1,100,0.05447967137399999,-5.0,0.170853,-1.7252729999999998,0.1875,-3.3626365,0.17917650000000002,Q1,0.4044866490806586
TOP_main_1_Cheese_100,1,100,0.0004014750000000007,-2.6875,0.1875,-2.6125,0.192853,-2.65,0.1901765,Q1,0.39833039195151815
TOP_main_1_Cheese_100,1,100,0.0004014750000000007,-2.7875,0.1875,-2.7125,0.192853,-2.75,0.1901765,Q1,0.314113197991186
TOP_main_1_Cheese_100,1,100,0.0004014749999999983,-2.8874999999999997,0.1875,-2.8125,0.192853,-2.8499999999999996,0.1901765,Q1,0.2422129252377959
TOP_main_1_Cheese_100,1,100,0.0004014749999999983,-2.9875,0.1875,-2.9125,0.192853,-2.95,0.1901765,Q1,0.19663952082999486
TOP_main_1_Cheese_100,1,100,0.0004014750000000007,-3.0875,0.1875,-3.0124999999999997,0.192853,-3.05,0.1901765,Q1,0.19663952082999486
TOP_main_1_Cheese_100,1,100,0.0004014750000000007,-3.1875,0.1875,-3.1125,0.192853,-3.15,0.1901765,Q1,0.24221292523779564
TOP_main_1_Cheese_100,1,100,0.0004014749999999983,-3.2874999999999996,0.1875,-3.2125,0.192853,-3.25,0.1901765,Q1,0.314113197991186
TOP_main_1_Cheese_100,1,100,0.0004014749999999983,-3.3874999999999997,0.1875,-3.3125,0.192853,-3.3499999999999996,0.1901765,Q1,0.39833039195151776
TOP_main_1_Cheese_100,1,100,0.0014735249999999946,-3.3874999999999997,0.192853,-3.3125,0.2125,-3.3499999999999996,0.20267649999999998,Q1,0.4044474794732312
TOP_main_1_Cheese_100,1,100,0.0014735249999999946,-3.2874999999999996,0.192853,-3.2125,0.2125,-3.25,0.20267649999999998,Q1,0.3218349944494073
