cell,layer,datatype,area_um2,bbox_xmin_um,bbox_ymin_um,bbox_xmax_um,bbox_ymax_um
TOP_main_1,1,11,0.0066428425555000205,0.343182,-2.221737,0.828683,-1.936872
TOP_main_1,1,11,0.007307782132500003,0.347173,-1.936872,1.024066,-1.8006149999999999
TOP_main_1,1,11,0.00747369895350001,0.36366299999999996,-1.8006149999999999,1.02551,-1.643041
TOP_main_1,1,11,0.007511755444499968,0.343182,-1.643041,0.9755969999999999,-1.4677369999999998
TOP_main_1,1,11,0.0026043034045000403,0.429903,-1.4677369999999998,1.02551,-1.278757
TOP_main_1,1,11,0.007416371437999924,0.343182,-1.278757,0.972182,-1.095018
TOP_main_1,1,11,0.0074752103319999826,0.37298899999999996,-1.095018,1.02551,-0.9334129999999999
TOP_main_1,1,11,0.00730629465749998,0.344089,-0.9334129999999999,1.020401,-0.797157
TOP_main_1,1,11,0.006952143093500037,0.343182,-0.797157,0.921739,-0.571319
TOP_main_1,1,11,0.008437568713000028,-0.428683,-3.9158329999999997,-0.21326599999999998,-3.178263
TOP_main_1,1,11,0.010359502694999984,-0.21326599999999998,-3.9157949999999997,-0.08710699999999999,-2.9304829999999997
TOP_main_1,1,11,0.010571227029000058,-0.08710699999999999,-3.864505,0.079761,-2.915478
TOP_main_1,1,11,0.002409269360999994,0.079761,-3.9158329999999997,0.26847299999999996,-3.831279
TOP_main_1,1,11,0.010571225751000014,0.26847299999999996,-3.864505,0.435341,-2.915478
TOP_main_1,1,11,0.010359493903999938,0.435341,-3.9157949999999997,0.561499,-2.9304829999999997
TOP_main_1,1,11,0.008955250739999969,0.561499,-3.9158329999999997,0.8286789999999999,-3.178258
TOP_main_1,1,11,0.005991354039499974,-3.8049999999999997,1.065,-3.3779779999999997,1.27
TOP_main_1,1,11,0.009320342539000166,-3.3779779999999997,0.393966,-3.210582,1.222883
TOP_main_1,1,11,0.006535621002499895,-3.210582,0.409366,-3.0564549999999997,0.9916109999999999
TOP_main_1,1,11,0.0065387136915000905,-3.0564549999999997,0.400867,-2.9042749999999997,0.9912559999999999
TOP_main_1,1,11,0.006532835081999908,-2.9042749999999997,0.393966,-2.743559,0.9580489999999999
TOP_main_1,1,11,0.006622993521499983,-2.743559,0.45358099999999996,-2.5610969999999997,0.9916109999999999
TOP_main_1,1,11,0.002540328587999932,-2.5610969999999997,0.393966,-2.371401,0.8908069999999999
TOP_main_1,1,11,0.006565966847500092,-2.371401,0.452741,-2.194823,0.9916109999999999
TOP_main_1,1,11,0.006532373062499912,-2.194823,0.393966,-2.036745,0.964321
TOP_main_1,1,11,0.0065473960430000215,-2.036745,0.39788999999999997,-1.884161,0.990193
TOP_main_1,1,11,0.006635931134499966,-1.884161,0.478261,-1.571319,0.9916109999999999
TOP_main_1,1,11,0.00669222296099995,1.97132,0.47825999999999996,2.272774,1.00872
TOP_main_1,1,11,0.008774621339000121,2.272774,0.189309,2.4156969999999998,1.008562
TOP_main_1,1,11,0.008784465242499855,2.4156969999999998,0.17685299999999998,2.576446,0.959182
